T,Cp,H(@Fcc)
K,J/(mole K),
377,26.61439762,-6184.29631
379,26.66137248,-6152.615022
381,26.70955951,-6121.352804
383,26.75908508,-6090.539442
385,26.81009608,-6060.208962
387,26.86276504,-6030.400584
389,26.91729807,-6001.16
391,26.97394275,-5972.541061
393,27.03300117,-5944.608132
395,27.09484774,-5917.439343
397,27.1599556,-5891.131394
399,27.22893657,-5865.806681
401,27.30260495,-5841.624514
403,27.38207915,-5818.799611
405,27.46897575,-5797.634742
407,27.56576332,-5778.583597
409,27.67656505,-5762.387214
411,27.80929868,-5750.437177
413,27.98338974,-5746.071349
415,27.06498761,-5792.072919
417,27.0374365,-5800.752348
419,26.96566261,-5767.1446
421,26.91027207,-5732.422929
423,26.86694078,-5696.894084
425,26.83279549,-5660.759726
427,26.80583916,-5624.158982
429,26.78462973,-5587.191434
431,26.76809857,-5549.930513
433,26.75543407,-5512.431686
435,26.74600735,-5474.7377
437,26.73932456,-5436.882062
439,26.73499019,-5398.891419
441,26.73268339,-5360.787227
443,26.73214331,-5322.586951
445,26.73315287,-5284.304944
447,26.73553197,-5245.953095
449,26.73912716,-5207.541333
451,26.74380969,-5169.077996
453,26.74946867,-5130.570132
455,26.75600985,-5092.023728
457,26.76335012,-5053.443894
459,26.77141823,-5014.835009
461,26.78015124,-4976.200838
463,26.78949424,-4937.544631
465,26.79939854,-4898.869201
467,26.8098189,-4860.17699
469,26.82071772,-4821.470121
471,26.83206107,-4782.750442
473,26.84381645,-4744.019572
475,26.85595643,-4705.278923
477,26.8684549,-4666.529732
479,26.88128941,-4627.773082
481,26.89443843,-4589.009927
483,26.90788316,-4550.241099
485,26.92160536,-4511.467335
487,26.93558863,-4472.689276
489,26.94981863,-4433.90749
491,26.96428229,-4395.122473
493,26.97896561,-4356.334661
495,26.99385731,-4317.544437
497,27.00894679,-4278.752136
499,27.02422383,-4239.958052
501,27.03967961,-4201.162441
503,27.05530432,-4162.365525
505,27.07108935,-4123.5675
507,27.0870279,-4084.768535
509,27.10311338,-4045.968773
511,27.11933764,-4007.168342
513,27.13569549,-3968.367347
515,27.1521798,-3929.565881
517,27.16878635,-3890.764021
519,27.18551011,-3851.96183
521,27.202344,-3813.159363
523,27.21928613,-3774.356662
525,27.23632972,-3735.553763
527,27.25347111,-3696.750693
529,27.27070747,-3657.94747
531,27.28803511,-3619.144111
533,27.3054489,-3580.340623
535,27.3229464,-3541.537011
537,27.34052417,-3502.733276
539,27.35817968,-3463.929414
541,27.37591015,-3425.125418
543,27.39371173,-3386.321281
545,27.41158335,-3347.516989
547,27.4295221,-3308.712533
549,27.44752486,-3269.907895
551,27.46559033,-3231.103061
553,27.48371552,-3192.298013
555,27.5018994,-3153.492732
557,27.52013865,-3114.687202
559,27.53843331,-3075.881401
561,27.5567811,-3037.075313
563,27.57517794,-2998.268916
565,27.59362662,-2959.46219
567,27.61212197,-2920.655117
569,27.63066445,-2881.847675
571,27.6492518,-2843.039847
573,27.66788247,-2804.231613
575,27.68655641,-2765.422954
577,27.70527128,-2726.613852
579,27.72402618,-2687.804287
581,27.742821,-2648.994245
583,27.76165323,-2610.183709
585,27.7805224,-2571.37266
587,27.79942786,-2532.561084
589,27.8183688,-2493.748967
591,27.83734388,-2454.936295
593,27.85635293,-2416.123072
595,27.87539252,-2377.309247
597,27.89446644,-2338.494828
599,27.91357032,-2299.679803
601,27.93270501,-2260.864164
603,27.95187035,-2222.0479
605,27.97106441,-2183.231
607,27.99028655,-2144.41346
609,28.00953653,-2105.595271
